Id,Games,City,Sport,Event,Medal
41270,1984 Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Slalom,NA
41271,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Slalom,NA
41272,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Combined,NA
41273,1972 Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Downhill,NA
41274,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Women's Downhill,Silver
41275,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
41276,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Women's Slalom,NA
41277,1968 Summer,Mexico City,Boxing,Boxing Men's Welterweight,NA
41278,2000 Summer,Sydney,Boxing,Boxing Men's Flyweight,NA
41279,2016 Summer,Rio de Janeiro,Boxing,Boxing Men's Flyweight,NA
41280,1964 Summer,Tokyo,Boxing,Boxing Men's Light-Welterweight,NA
41281,2004 Summer,Athina,Athletics,"Athletics Women's 1,500 metres",NA
41282,2008 Summer,Beijing,Athletics,"Athletics Women's 1,500 metres",NA
41283,2008 Summer,Beijing,Boxing,Boxing Men's Heavyweight,NA
41284,1996 Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,NA
41285,1976 Summer,Montreal,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
41286,1948 Summer,London,Athletics,Athletics Women's 80 metres Hurdles,NA
41287,1948 Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,NA
41288,1984 Summer,Los Angeles,Athletics,Athletics Men's Hammer Throw,NA
41289,1988 Summer,Seoul,Athletics,Athletics Men's Hammer Throw,NA
41290,2012 Summer,London,Athletics,Athletics Women's 100 metres,NA
41291,1996 Summer,Atlanta,Athletics,Athletics Men's Long Jump,NA
41292,2000 Summer,Sydney,Athletics,Athletics Men's Long Jump,NA
41293,1980 Summer,Moskva,Athletics,Athletics Women's 800 metres,NA
41294,1972 Summer,Munich,Athletics,Athletics Men's 20 kilometres Walk,NA
41295,1980 Summer,Moskva,Athletics,Athletics Men's 20 kilometres Walk,NA
41296,1996 Summer,Atlanta,Athletics,Athletics Women's 200 metres,NA
41297,2000 Summer,Sydney,Athletics,Athletics Women's 100 metres,NA
